AAA
AAD
AAM
AAS
ACQUIRERELEASEXADD
ADC
ADCX
ADD
ADD.OVF
ADDPD
ADDPS
ADDSD
ADDSS
ADDSUBPD
ADDSUBPS
ADOX
AESDEC
AESDECLAST
AESENC
AESENCLAST
AESIMC
AESKEYGENASSIST
AND
ANDN
ANDNPD
ANDNPS
ANDPD
ANDPS
ARPL
ASR
B
BEQ
BEQ.S
BEXTR
BGE
BGE.S
BGE.UN.S
BGT
BGT.S
BGT.UN
BGT.UN.S
BIC
BL
BLD
BLE
BLE.S
BLE.UN.S
BLENDPD
BLENDPS
BLENDVPD
BLENDVPS
BLSI
BLSMSK
BLSR
BLT
BLT.S
BLT.UN.S
BLX
BNDCL
BNDCN
BNDCU
BNDLDX
BNDMK
BNDMOV
BNDSTX
BNE.UN
BNE.UN.S
BOUND
BOX
BR
BR.S
BRFALSE
BRFALSE.S
BRTRUE
BRTRUE.S
BSF
BSR
BSWAP
BT
BTC
BTR
BTS
BX
BZHI
CALL
CALLVIRT
CASTCLASS
CBW
CBZ
CDQ
CDQE
CEQ
CGT
CGT.UN
CLAC
CLC
CLD
CLFLUSH
CLFLUSHOPT
CLI
CLT
CLT.UN
CLTS
CLWB
CMC
CMN
CMOVA
CMOVAE
CMOVB
CMOVBE
CMOVC
CMOVE
CMOVG
CMOVGE
CMOVL
CMOVLE
CMOVNA
CMOVNAE
CMOVNB
CMOVNBE
CMOVNC
CMOVNE
CMOVNG
CMOVNGE
CMOVNL
CMOVNLE
CMOVNO
CMOVNP
CMOVNS
CMOVNZ
CMOVO
CMOVP
CMOVPE
CMOVS
CMOVZ
CMP
CMPEQSD
CMPLTPD
CMPLTSD
CMPNLEPD
CMPPD
CMPPS
CMPS
CMPSB
CMPSD
CMPSQ
CMPSS
CMPSW
CMPXCHG
CMPXCHG16B
CMPXCHG8B
COMISD
COMISS
CONSTRAINED.
CONV.I
CONV.I1
CONV.I2
CONV.I4
CONV.I8
CONV.OVF.I
CONV.OVF.I1.UN
CONV.OVF.I2.UN
CONV.OVF.I4
CONV.OVF.I4.UN
CONV.OVF.I8.UN
CONV.OVF.U2.UN
CONV.R4
CONV.R8
CONV.U
CONV.U1
CONV.U2
CONV.U4
CONV.U8
CPUID
CQO
CRC32
CVTDQ2PD
CVTDQ2PS
CVTPD2DQ
CVTPD2PI
CVTPD2PS
CVTPI2PD
CVTPI2PS
CVTPS2DQ
CVTPS2PD
CVTPS2PI
CVTSD2SI
CVTSD2SS
CVTSI2SD
CVTSI2SS
CVTSS2SD
CVTSS2SI
CVTTPD2DQ
CVTTPD2PI
CVTTPS2DQ
CVTTPS2PI
CVTTSD2SI
CVTTSS2SI
CWD
CWDE
DAA
DAS
DEC
DIV
DIV.UN
DIVPD
DIVPS
DIVSD
DIVSS
DPPD
DPPS
DUP
EMMS
ENDFILTER
ENDFINALLY
ENTER
ENTERQ
EOR
